Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,Month,Year,TimePeriod,Location_encoded,Operator_encoded,AC Type_encoded,Route_encoded,Fatality Rate,Survival Rate,Season
Virginia,Military - US,Unknown,Demonstration,Wright Flyer III,Unknown,1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",9,1908,Afternoon,524,1331,2328,1044,0.5,0.5,Fall
France,Unknown,Unknown,Air show,Wright Byplane,SC1,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",9,1909,Unknown,173,2056,2327,132,1.0,0.0,Fall
New Jersey,Military - US,Unknown,Test flight,Dirigible,Unknown,,5.0,0.0,5.0,5.0,0.0,5.0,0.0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",7,1912,Morning,329,1331,992,3477,1.0,0.0,Summer
Canada,Private,Unknown,Unknown,Curtiss seaplane,Unknown,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",8,1913,Unknown,106,1560,951,3613,1.0,0.0,Summer
Over the North Sea,Military - German,Unknown,Unknown,Zeppelin L-1 (airship),Unknown,,20.0,,,14.0,,,0.0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,9,1913,Night,395,1272,2343,3613,0.7,0.30000000000000004,Fall
Germany,Military - German,Unknown,Unknown,Zeppelin L-2 (airship),Unknown,,30.0,,,30.0,,,0.0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",10,1913,Morning,184,1272,2345,3613,1.0,0.0,Fall
Belgium,Military - German,Unknown,Unknown,Zeppelin L-8 (airship),Unknown,,41.0,,,21.0,,,0.0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,3,1915,Overnight,76,1272,2356,3613,0.5121951219512195,0.4878048780487805,Spring
Germany,Military - German,Unknown,Unknown,Zeppelin L-10 (airship),Unknown,,19.0,,,19.0,,,0.0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",9,1915,Afternoon,184,1272,2344,3613,1.0,0.0,Fall
Bulgeria,Military - German,Unknown,Unknown,Schutte-Lanz S-L-10 (airship),Unknown,,20.0,,,20.0,,,0.0,"Crashed near the Black Sea, cause unknown.",7,1916,Unknown,96,1272,2030,3613,1.0,0.0,Summer
England,Military - German,Unknown,Unknown,Zeppelin L-32 (airship),Unknown,,22.0,,,22.0,,,0.0,Shot down by British aircraft crashing in flames.,9,1916,Overnight,162,1272,2349,3613,1.0,0.0,Fall
England,Military - German,Unknown,Unknown,Zeppelin L-31 (airship),Unknown,,19.0,0.0,19.0,19.0,0.0,19.0,0.0,Shot down in flames by the British 39th Home Defence Squadron.,10,1916,Night,162,1272,2348,3613,1.0,0.0,Fall
Germany,Military - German,Unknown,Unknown,Super Zeppelin (airship),Unknown,,28.0,,,27.0,,,0.0,Crashed in a storm.,11,1916,Unknown,184,1272,2163,3613,0.9642857142857143,0.0357142857142857,Fall
England,Military - German,Unknown,Unknown,Zeppelin L-34 (airship),Unknown,,20.0,,,20.0,,,0.0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,11,1916,Night,162,1272,2350,3613,1.0,0.0,Fall
Belgium,Military - German,Unknown,Unknown,Airship,Unknown,,20.0,,,20.0,,,0.0,Caught fire and crashed.,3,1917,Unknown,76,1272,112,3613,1.0,0.0,Spring
Off Northern Germany,Military - German,Unknown,Unknown,Schutte-Lanz S-L-9 (airship),Unknown,,23.0,,,23.0,,,0.0,Struck by lightning and crashed into the Baltic Sea.,3,1917,Unknown,363,1272,2031,3613,1.0,0.0,Spring
North Sea,Military - German,Unknown,Unknown,Zeppelin L-22 (airship),Unknown,,21.0,,,21.0,,,0.0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",5,1917,Overnight,343,1272,2346,3613,1.0,0.0,Spring
North Sea,Military - German,Unknown,Unknown,Zeppelin L-43 (airship),Unknown,,24.0,,,24.0,,,0.0,Shot down by British aircraft.,6,1917,Morning,343,1272,2351,3613,1.0,0.0,Summer
England,Unknown,Unknown,Unknown,Zepplin LZ-95 (air ship),L-48,,16.0,,,14.0,,,0.0,Shot down by aircraft.,6,1917,Unknown,162,2056,2358,3613,0.875,0.125,Summer
Off western Denmark,Military - German,Unknown,Unknown,Zeppelin L-23 (airship),Unknown,,18.0,,,18.0,,,0.0,Shot down by British aircraft.,8,1917,Morning,378,1272,2347,3613,1.0,0.0,Summer
France,Military - German,Unknown,Unknown,Zeppelin L-44 (airship),Unknown,,18.0,,,18.0,,,0.0,Shot down by French anti-aircraft fire.,10,1917,Morning,173,1272,2352,3613,1.0,0.0,Fall
Over the Mediterranean,Military - German,Unknown,Unknown,Zeppelin L-59 (airship),Unknown,,23.0,,,23.0,,,0.0,Exploded and crashed into the sea off the southern coast of Italy.,4,1918,Night,391,1272,2354,3613,1.0,0.0,Spring
